Acrochordus granulatus
Dendrelaphis pictus
Dryophiops philippina
Dryophiops rubescens
Cyclocorus nuchalis
Cyclocorus lineatus
Chrysopelea paradisi
Cerberus rynchops
Cerberus microlepis
Calamaria joloensis
Calamaria bitorques
Boiga dendrophila
Boiga philippina
Boiga cynodon
Boiga angulata
Tropidonophis negrosensis
Aplopeltura boa
Sibynophis bivittatus
Rhabdophis spilogaster
Rhabdophis lineatus
Rhabdophis chrysargos
Rhabdophis auriculata
Ptyas luzonensis
Ptyas carinata
Pseudorabdion oxycephalum
Pseudorabdion talonuran
Pseudorabdion taylori
Pseudorabdion ater
Pseudorabdion mcnamarae
Pseudorabdion montanum
Psammodynastes pulverulentus
Oxyrhabdium leporinum
Oxyrhabdium modestum
Opisthotropis alcalai
Oligodon perkinsi
Oligodon meyerinkii
Oligodon maculatus
Myersophis alpestris
Lycodon solivagus
Lycodon muelleri
Lycodon chrysoprateros
Lycodon bibonius
Lycodon alcalai
Lycodon fausti
Hologerrhum philippinum
Hologerrhum dermali
Gonyosoma oxycephalum
Gerarda prevostiana
Fordonia leucobalia
Ahaetulla prasina
Coelognathus erythrurus
Calliophis intestinalis
Ophiophagus hannah
Naja samarensis
Tropidolaemus wagleri
Trimeresurus flavomaculatus
Trimeresurus schultzei
Xenopeltis unicolor
Ramphotyphlops suluensis
Ramphotyphlops cumingii
Hydrophis platurus
Hydrophis ornatus
Hydrophis spiralis
Hydrophis semperi
Hydrophis cyanocinctus
Hydrophis belcheri
Hydrophis atriceps
Laticauda semifasciata
Laticauda laticaudata
Emydocephalus annulatus
Aipysurus eydouxii
Laticauda colubrina
Acutotyphlops banaorum
Boiga schultzei
Hemibungarus calligaster
Naja philippinensis
Oligodon ancorus
Ramphotyphlops marxi
Rhabdophis barbouri
Stegonotus muelleri
Trimeresurus mcgregori
Tropidonophis dendrophiops
Calamaria gervaisii
Calamaria lumbricoidea
Hydrophis lamberti
Dendrelaphis marenae
Hydrophis coggeri
Lycodon capucinus
Tropidolaemus philippensis
Tropidolaemus subannulatus
Dendrelaphis luzonensis
Gerrhopilus hedraeus
Liopeltis philippinus
Lycodon dumerilii
Lycodon tessellatus
Oligodon notospilus
Trimeresurus sumatranus
Cerberus schneiderii
Hydrophis curtus
Hydrophis jerdonii
Hydrophis stokesii
Hydrophis schistosus
Malayopython reticulatus
Antillotyphlops catapontus
Indotyphlops braminus
Malayotyphlops canlaonensis
Malayotyphlops collaris
Malayotyphlops hypogius
Malayotyphlops luzonensis
Malayotyphlops ruber
Malayotyphlops ruficaudus
Oligodon modestus
Lycodon philippinus
